start city,stop city,distance
Amsterdam,Cayenne,7408.230640691067
Amsterdam,Chihuahua,8843.573424724696
Amsterdam,Chongqing,8205.098591729422
Amsterdam,Copenhagen,622.5007609742988
Amsterdam,Crdoba,11421.62603853757
Amsterdam,Dakar,4630.3367097603395
Amsterdam,Darwin,13494.20318642808
Amsterdam,Djibouti,5722.280200415242
Amsterdam,Dublin,727.211419505051
Amsterdam,Durban,9439.250028747063
Amsterdam,Edinburgh,621.8560501546503
Amsterdam,Frankfurt,317.56577142055926
Amsterdam,Georgetown,7607.7387370180595
Amsterdam,Glasgow,675.5204180643153
Amsterdam,Guatemala City,9076.352910913096
Amsterdam,Guayaquil,9793.477492084312
Amsterdam,Hamburg,400.87447298988684
Amsterdam,Hammerfest,2234.552225775419
Amsterdam,Havana,7727.596699219911
Amsterdam,Helsinki,1531.241942657193
Amsterdam,Hobart,17048.558616138336
Amsterdam,Hong Kong,9317.55410016628
Amsterdam,Iquique,10809.05590103135
Amsterdam,Irkutsk,6203.961975941269
Amsterdam,Jakarta,11365.105386380557
Amsterdam,Johannesburg,9018.521022166746
Amsterdam,Kingston,7867.377986954961
Amsterdam,Kinshasa,6353.409572034151
Amsterdam,Kuala Lumpur,10144.215590413869
Amsterdam,La Paz,10310.568250622877
Amsterdam,Leeds,414.80602463794634
Amsterdam,Lima,10509.133836196102
Amsterdam,Lisbon,1895.8090680780324
Amsterdam,Liverpool,519.657768845171
Amsterdam,London,360.3172258093096
Amsterdam,Lyons,753.029155906076
Amsterdam,Madrid,1462.0691877987413
Amsterdam,Manchester,465.21414240645123
Amsterdam,Manila,10423.079323802292
Amsterdam,Marseilles,1004.5335095360421
Amsterdam,Mazatln,9305.337284900204
Amsterdam,Mecca,4557.400963845152
Amsterdam,Melbourne,16528.899399159338
Amsterdam,Mexico City,9253.435724308072
Amsterdam,Milan,842.167910504128
Amsterdam,Montevideo,11297.062685464274
Amsterdam,Moscow,2163.6678352600175
Amsterdam,Munich,613.920660376534
Amsterdam,Nagasaki,9194.55506169078
Amsterdam,Nagoya,9191.915114727955
Amsterdam,Nairobi,6658.605821852851
Amsterdam,Nanjing (Nanking),8651.146381286053
Amsterdam,Naples,1495.278688074583
Amsterdam,New Delhi,6400.769214744343
Amsterdam,Newcastle-on-Tyne,470.9331032060228
Amsterdam,Odessa,1984.353816512476
Amsterdam,Osaka,9274.82572556676
Amsterdam,Oslo,895.4526748168654
Amsterdam,Panama City,8839.02846584897
Amsterdam,Paramaribo,7506.224374099639
Amsterdam,Paris,447.60400071599804
Amsterdam,Perth,14117.767823714808
Amsterdam,Plymouth,665.4278922215632
Amsterdam,Port Moresby,14205.137912135457
Amsterdam,Prague,701.7365340311666
Amsterdam,Rangoon,8666.176753964022
Amsterdam,Reykjavk,2014.070091025764
Amsterdam,Rio de Janeiro,9514.7327817491
Amsterdam,Rome,1323.916140342444
Amsterdam,Salvador,8289.035562893989
Amsterdam,Santiago,11958.977660391678
Amsterdam,St. Petersburg,1780.663208981868
Amsterdam,So Paulo,9739.505502619591
Amsterdam,Shanghai,8908.138283484426
Amsterdam,Singapore,10523.014645857627
Amsterdam,Sofia,1773.1802707214003
Amsterdam,Stockholm,1154.7802322189166
Amsterdam,Sydney,16675.846966531248
Amsterdam,Tananarive,8886.4704962794
Amsterdam,Teheran,4108.703797753932
Amsterdam,Tokyo,9338.814340167872
Amsterdam,Tripoli,2292.9031611961427
Amsterdam,Venice,955.8718251770739
Amsterdam,Veracruz,9039.286426575914
Amsterdam,Vienna,945.4920107331159
Amsterdam,Vladivostok,8282.161014695508
Amsterdam,Warsaw,1120.9390298755857
Amsterdam,Wellington,18575.38229706323
Amsterdam,Zrich,619.8287498765501
Ankara,Aberdeen,3244.365432101146
Ankara,Adelaide,13601.832579153763
Ankara,Algiers,2599.487097811936
Ankara,Amsterdam,2561.9715931535416
Ankara,Ankara,0.0
Ankara,Asuncin,11753.042308617325
Ankara,Athens,822.4607898540844
Ankara,Auckland,16691.45111656411
Ankara,Bangkok,7163.36244624816
Ankara,Barcelona,2506.651014388656
Ankara,Beijing,6887.418948132978
Ankara,Belm,9317.892618150625
Ankara,Belfast,3273.189574697694
Ankara,Belgrade,1150.0063075702801
Ankara,Berlin,2047.2993376502163
Ankara,Birmingham,2955.664184097921
Ankara,Bogot,11118.665332673954
Ankara,Bombay,4445.958189312695
Ankara,Bordeaux,2750.926709347827
Ankara,Bremen,2387.2474654744747
Ankara,Brisbane,14498.63937931144
Ankara,Bristol,2983.9665266390984
Ankara,Brussels,2517.130514542346
Ankara,Bucharest,712.2669237122718
Ankara,Budapest,1358.659830335528
Ankara,Buenos Aires,12411.298392007502
Ankara,Cairo,1047.1237323675605
Ankara,Calcutta,5551.082411480885
Ankara,Canton,7586.646865115
Ankara,Cape Town,8263.663691419191
Ankara,Caracas,10105.328646351021
Ankara,Cayenne,9241.170203777467
Ankara,Chihuahua,11358.197433027412
Ankara,Chongqing,6669.498968312169
Ankara,Copenhagen,2310.036815797588
Ankara,Crdoba,12681.534870978561
Ankara,Dakar,5583.7227320908405
Ankara,Darwin,11553.747027975647
Ankara,Djibouti,3316.4996676166666
Ankara,Dublin,3281.499682639747
Ankara,Durban,7686.601122916284
Ankara,Edinburgh,3160.682035287235
Ankara,Frankfurt,2248.284692766527
Ankara,Georgetown,9614.222157630324
Ankara,Glasgow,3221.588112548716
Ankara,Guatemala City,11602.940827304688
Ankara,Guayaquil,12041.930264590103
Ankara,Hamburg,2281.0716838338726
Ankara,Hammerfest,3470.1431368983804
Ankara,Havana,10257.641254124423
Ankara,Helsinki,2345.525200571432
Ankara,Hobart,14666.519986748466
Ankara,Hong Kong,7763.328700208739
Ankara,Iquique,12527.903400840658
Ankara,Irkutsk,5482.271998732316
Ankara,Jakarta,9090.533273503055
Ankara,Johannesburg,7317.153705243562
Ankara,Kingston,10312.589006715734
Ankara,Kinshasa,5179.730570395735
Ankara,Kuala Lumpur,7937.851390642511
Ankara,La Paz,12064.453481400978
Ankara,Leeds,2976.7543570848948
Ankara,Lima,12544.899107895524
Ankara,Lisbon,3637.3712937810747
Ankara,Liverpool,3078.819744730113
Ankara,London,2859.7201096749327
Ankara,Lyons,2378.4290796949103
Ankara,Madrid,3048.92956995414
Ankara,Manchester,3025.8999546663426
Ankara,Manila,8833.764107342235
Ankara,Marseilles,2307.936858906089
Ankara,Mazatln,11842.832494660834
Ankara,Mecca,2134.3602712620636
Ankara,Melbourne,14247.541898917658
Ankara,Mexico City,11815.249461806428
Ankara,Milan,2019.6880066160447
Ankara,Montevideo,12262.081995961029
Ankara,Moscow,1804.033169855643
Ankara,Munich,1969.554550412452
Ankara,Nagasaki,8318.318156905892
Ankara,Nagoya,8597.193658138725
Ankara,Nairobi,4556.461937798812
Ankara,Nanjing (Nanking),7485.528469137202
Ankara,Naples,1567.9423150389794
Ankara,New Delhi,4249.685347668009
Ankara,Newcastle-on-Tyne,3020.962091833511
Ankara,Odessa,766.1743378990628
Ankara,Osaka,8607.098126638943
Ankara,Oslo,2712.1657145687986
Ankara,Panama City,11222.556613309422
Ankara,Paramaribo,9428.13848058387
Ankara,Paris,2601.548578416003
Ankara,Perth,11640.51344556086
Ankara,Plymouth,3112.7651780794904
Ankara,Port Moresby,12822.206815720432
Ankara,Prague,1875.354832464887
Ankara,Rangoon,6590.273591043464
Ankara,Reykjavk,4415.198780940979
Ankara,Rio de Janeiro,10445.435966881254
Ankara,Rome,1724.3118726461907
Ankara,Salvador,9315.970568381901
Ankara,Santiago,13306.531587741516
Ankara,St. Petersburg,2231.9241142986066
Ankara,So Paulo,10746.16778500633
